Data,preco_hoje,preco_amanha,Previsao,sinal,retorno_estrategia,retorno_hold,capital_estrategia,capital_hold
2024-01-01,266.74,257.05,268.7256312389081,1,0.963672490065232,0.963672490065232,963.6724900652321,963.6724900652321
2024-01-02,257.05,238.86,252.87520183065584,0,1.0,0.929235557284575,963.6724900652321,895.47874334558
2024-01-03,238.86,240.71,237.40081406572511,0,1.0,1.0077451226659968,963.6724900652321,902.4143360575841
2024-01-04,240.71,239.87,240.4026013557022,0,1.0,0.9965103236259399,963.6724900652321,899.265202069431
2024-01-05,239.87,237.16,235.30980831572464,0,1.0,0.988702213699087,963.6724900652321,889.1054959886031
2024-01-06,237.16,234.97,241.43904902601292,1,0.9907657277787149,0.9907657277787149,954.773675959806,880.8952538052037
2024-01-07,234.97,252.61,241.31457781234434,1,1.0750734136272717,1.0750734136272717,1026.4517950555671,947.0270675564221
2024-01-08,252.61,244.94,251.08716896736672,0,1.0,0.9696369898262143,1026.4517950555671,918.272475069356
2024-01-09,244.94,253.5,249.54901785218766,1,1.0349473340409896,1.0349473340409896,1062.3235488143475,950.3636499962511
2024-01-10,253.5,276.56,263.09829763510874,1,1.090966469428008,1.090966469428008,1158.9593714402206,1036.814875909125
2024-01-11,276.56,259.92,278.31391269528916,1,0.9398322244720857,0.9398322244720857,1089.227364133433,974.4320311914225
2024-01-12,259.92,254.56,265.1532164942627,1,0.979378270236996,0.979378270236996,1066.7656117798042,954.3375571717779
2024-01-13,254.56,249.48,270.47976551765254,1,0.9800439974858579,0.9800439974858579,1045.477234549126,935.2927944815177
2024-01-14,249.48,250.45,259.13523075172355,1,1.0038880872214206,1.0038880872214206,1049.5421412250628,938.9292944440281
2024-01-15,250.45,251.43,242.4979307819312,0,1.0,1.0039129566779796,1049.5421412250628,942.6032840968735
2024-01-16,251.43,244.41,246.2612079922264,0,1.0,0.9720797040925904,1049.5421412250628,916.2855214815927
2024-01-17,244.41,237.61,244.55041284674456,1,0.9721778977946893,0.9721778977946893,1020.3416725031185,890.7925320536855
2024-01-18,237.61,236.64,244.0890209544604,1,0.9959176802323133,0.9959176802323133,1016.1763115236644,887.156032091175
2024-01-19,236.64,239.11,243.3545839842563,1,1.0104377958079784,1.0104377958079784,1026.782952368253,896.415985603959
2024-01-20,239.11,237.01,239.17976455950787,1,0.9912174313077662,0.9912174313077662,1017.7651605570641,888.5431506335758
2024-01-21,237.01,235.75,237.73186593690565,1,0.994683768617358,0.994683768617358,1012.354485470351,883.819449651346
2024-01-22,235.75,229.36,241.76997964644482,1,0.9728950159066808,0.9728950159066808,984.9146332448768,859.8635375271801
2024-01-23,229.36,236.21,236.89523556271246,1,1.0298657132891524,1.0298657132891524,1014.3298112956592,885.5439754067634
2024-01-24,236.21,236.69,230.19093044662526,0,1.0,1.0020320900893271,1014.3298112956592,887.3434805428507
2024-01-25,236.69,241.66,232.10650948995402,0,1.0,1.0209979297815708,1014.3298112956592,905.9758566394241
2024-01-26,241.66,243.64,246.4688787739878,1,1.0081933294711578,1.0081933294711578,1022.6405496320219,913.3988153257853
2024-01-27,243.64,236.79,245.11401810312321,1,0.9718847479888361,0.9718847479888361,993.8887528622824,887.7183774462023
2024-01-28,236.79,241.14,243.37077931502512,1,1.0183707082224756,1.0183707082224756,1012.1471931467154,904.0263927419959
2024-01-29,241.14,237.28,247.3022638131087,1,0.9839927013353239,0.9839927013353239,995.9454507334024,889.555372272625
2024-01-30,237.28,234.38,242.3262027669852,1,0.9877781523937963,0.9877781523937963,983.7731572104469,878.6833620754292
2024-01-31,234.38,236.58,239.38667546773007,1,1.0093864664220498,1.0093864664220498,993.0073109175166,886.931093949164
2024-02-01,236.58,236.45,239.2733036969011,1,0.9994505030010989,0.9994505030010989,992.4616563802806,886.443727974807
2024-02-02,236.45,240.68,239.09988887423327,1,1.0178896172552336,1.0178896172552336,1010.216415553419,902.3018669865787
2024-02-03,240.68,234.85,238.03460788914612,0,1.0,0.9757769652650822,1010.216415553419,880.4453775211816
2024-02-04,234.85,235.69,238.6122936066394,1,1.0035767511177347,1.0035767511177347,1013.8297082469037,883.5945115093348
2024-02-05,235.69,234.86,247.3455616478031,1,0.9964784250498537,0.9964784250498537,1010.2594309426272,880.4828672115168
2024-02-06,234.86,240.38,242.1535454634731,1,1.0235033637060376,1.0235033637060376,1034.0039257855262,901.1771762765238
2024-02-07,240.38,244.07,253.02537689173272,1,1.0153506947333388,1.0153506947333388,1049.8766044033339,915.0108720101971
2024-02-08,244.07,250.64,247.66155263596823,1,1.0269185069857008,1.0269185069857008,1078.137715113089,939.6415985603957
2024-02-09,250.64,247.75,252.20072637313655,1,0.9884695180338334,0.9884695180338334,1065.7062676319333,928.8070780535351
2024-02-10,247.75,277.37,249.2827085275357,1,1.119556004036327,1.119556004036327,1193.1178504664756,1039.8515408262724
2024-02-11,277.37,280.83,283.5305308830147,1,1.0124743122904423,1.0124743122904423,1208.0011751324957,1052.822973682237
2024-02-12,280.83,270.28,282.10989449733546,1,0.962432788519745,0.962432788519745,1162.6199395178967,1013.2713503786455
2024-02-13,270.28,280.69,276.8625806477075,1,1.0385156134379163,1.0385156134379163,1207.3989596835818,1052.2981180175448
2024-02-14,280.69,270.55,293.392783319593,1,0.9638747372546226,0.9638747372546226,1163.781355026517,1014.2835720176948
2024-02-15,270.55,274.17,257.90023227596333,0,1.0,1.0133801515431529,1163.781355026517,1027.854839919022
2024-02-16,274.17,267.01,278.2426256891494,1,0.973884815990079,0.973884815990079,1133.3889907926844,1001.0122216390489
2024-02-17,267.01,270.35,261.7592823486929,0,1.0,1.0125088947979477,1133.3889907926844,1013.5337782109916
2024-02-18,270.35,272.51,270.1667511742716,0,1.0,1.0079896430552986,1133.3889907926844,1021.6315513233856
2024-02-19,272.51,265.09,269.87800353580764,0,1.0,0.9727716414076547,1133.3889907926844,993.8142010946984
2024-02-20,265.09,263.02,264.23928880506804,0,1.0,0.9921913312459919,1133.3889907926844,986.0538351953207
2024-02-21,263.02,260.3,263.33934376204064,1,0.9896585810964946,0.9896585810964946,1121.668140458276,975.856639424158
2024-02-22,260.3,264.35,259.86630943232825,0,1.0,1.0155589704187475,1121.668140458276,991.0399640098968
2024-02-23,264.35,267.41,263.4752534236913,0,1.0,1.0115755627009646,1121.668140458276,1002.511809252455
2024-02-24,267.41,267.69,262.7501221653228,0,1.0,1.0010470812609849,1121.668140458276,1003.5615205818393
2024-02-25,267.69,274.51,271.3389975708132,1,1.0254772311255556,1.0254772311255556,1150.2451389189036,1029.129489390417
2024-02-26,274.51,291.91,285.67578320765546,1,1.0633856690102366,1.0633856690102366,1223.154196575051,1094.3615505735916
2024-02-27,291.91,296.43,296.9257460590606,1,1.0154842245897708,1.0154842245897708,1242.0937908627398,1111.306890605083
2024-02-28,296.43,297.82,287.8422627430563,0,1.0,1.0046891340282698,1242.0937908627398,1116.5179575616698
2024-02-29,297.82,316.48,302.5368033629065,1,1.0626552951447183,1.0626552951447183,1319.917543926667,1186.4737197270745
2024-03-01,316.48,499.19,346.6838635709291,1,1.5773192618806875,1.5773192618806875,2081.93136612978,1871.447851840743
2024-03-02,499.19,471.39,471.34756206536343,0,1.0,0.9443097818465914,2081.93136612978,1767.226512709004
2024-03-03,471.39,471.54,471.43420951628735,1,1.00031820785337,1.00031820785337,2082.59385304066,1767.7888580640315
2024-03-04,471.54,401.64,401.68659820222905,0,1.0,0.8517623107265555,2082.59385304066,1505.7359226212784
2024-03-05,401.64,415.76,415.5626545753484,1,1.0351558609700229,1.0351558609700229,2155.809232995182,1558.671365374521
2024-03-06,415.76,432.04,432.0560122933393,1,1.039157206080431,1.039157206080431,2240.2246994016705,1619.704581240158
2024-03-07,432.04,436.33,436.32087328100255,1,1.0099296361448014,1.0099296361448014,2262.469315549326,1635.7876583939405
2024-03-08,436.33,432.29,432.3435991611486,0,1.0,0.9907409529484565,2262.469315549326,1620.641823498537
2024-03-09,432.29,423.44,423.2949192132955,0,1.0,0.9795276319137616,2262.469315549326,1587.4634475519222
2024-03-10,423.44,448.34,448.40452953243306,1,1.0588040808615151,1.0588040808615151,2395.511744127585,1680.812776486465
2024-03-11,448.34,434.34,434.60330869817784,0,1.0,0.9687736985323638,2395.511744127585,1628.3272100172442
2024-03-12,434.34,442.5,442.1457720603948,1,1.018787125293549,1.018787125293549,2440.516523406678,1658.918797330733
2024-03-13,442.5,440.41,440.87681104803136,0,1.0,0.9952768361581922,2440.516523406678,1651.083452050685
2024-03-14,440.41,416.27,414.01426210069707,0,1.0,0.9451874389773165,2440.516523406678,1560.583339581614
2024-03-15,416.27,388.58,401.4940908756261,0,1.0,0.9334806736012684,2440.516523406678,1456.774387043562
2024-03-16,388.58,402.59,408.43615504169514,1,1.036054351742241,1.036054351742241,2528.5077645743336,1509.297443203118
2024-03-17,402.59,400.85,400.95031972789815,0,1.0,0.9956779850468219,2528.5077645743336,1502.7742370848007
2024-03-18,400.85,360.68,375.41651227140477,0,1.0,0.8997879506049644,2528.5077645743336,1352.1781510084718
2024-03-19,360.68,409.47,398.4511853661542,1,1.1352722635022736,1.1352722635022736,2870.5447331713776,1535.090350153707
2024-03-20,409.47,414.44,412.5084051694875,1,1.012137641341246,1.012137641341246,2905.3863755966145,1553.7227262502804
2024-03-21,414.44,430.81,415.7740801181798,1,1.039499083100087,1.039499083100087,3020.1464734841657,1615.093349328934
2024-03-22,430.81,455.16,446.28259219789555,1,1.0565214363640585,1.0565214363640585,3190.8494901953363,1706.3807452950432
2024-03-23,455.16,484.79,482.94367720747044,1,1.0650979875208717,1.0650979875208717,3398.5673704890523,1817.4626977581156
2024-03-24,484.79,487.29,481.6603759136205,0,1.0,1.0051568720476907,3398.5673704890523,1826.835120341905
2024-03-25,487.29,479.54,483.9096247162824,0,1.0,0.984095713025098,3398.5673704890523,1797.7806103321577
2024-03-26,479.54,538.03,535.0737376418119,1,1.1219710555949451,1.1219710555949451,3813.094220178139,2017.0578091024956
2024-03-27,538.03,567.96,570.4842020478254,1,1.0556288682787207,1.0556288682787207,4025.2123362867796,2129.264452275623
2024-03-28,567.96,620.19,618.7229602541929,1,1.0919607014578492,1.0919607014578492,4395.3736862485,2325.0731048961525
2024-03-29,620.19,596.84,597.0811461415296,0,1.0,0.9623502475047969,4395.3736862485,2237.534677963559
2024-03-30,596.84,678.35,678.4264816250807,1,1.1365692647945849,1.1365692647945849,4995.646639076922,2543.1131438854304
2024-03-31,678.35,648.33,648.1299821343428,0,1.0,0.9557455590771726,4995.646639076922,2430.5690934992867
2024-04-01,648.33,638.6,638.6318663563734,0,1.0,0.9849922107568676,4995.646639076922,2394.091624803178
2024-04-02,638.6,592.96,592.7932666745191,0,1.0,0.9285311619166928,4995.646639076922,2222.988678113518
2024-04-03,592.96,665.65,665.834785362721,1,1.1225883702104693,1.1225883702104693,5608.054818708771,2495.5012371597795
2024-04-04,665.65,657.77,657.6346181836134,0,1.0,0.988161946969128,5608.054818708771,2465.959361175675
2024-04-05,657.77,693.7,693.4320033993727,1,1.054623956702191,1.054623956702191,5914.388962309431,2600.6598185498974
2024-04-06,693.7,685.45,685.1972898449903,0,1.0,0.9881072509730431,5914.388962309431,2569.730824023392
2024-04-07,685.45,681.53,682.5133508648878,0,1.0,0.9942811291852067,5914.388962309431,2555.0348654120103
2024-04-08,681.53,671.87,670.4741839375502,0,1.0,0.9858260091265242,5914.388962309431,2518.8198245482477
2024-04-09,671.87,629.59,630.5021113362318,0,1.0,0.9370711595993273,5914.388962309431,2360.3134138112005
2024-04-10,629.59,614.37,616.2105063405043,0,1.0,0.9758255372544036,5914.388962309431,2303.25410512109
2024-04-11,614.37,533.94,533.7334922757154,0,1.0,0.8690854045607697,5914.388962309431,2001.724525755416
2024-04-12,533.94,480.29,480.40882529878667,0,1.0,0.8995205453796307,5914.388962309431,1800.5923371072943
2024-04-13,480.29,525.38,525.4172591176039,1,1.0938807803618646,1.0938807803618646,6469.636413454639,1969.6333508285206
2024-04-14,525.38,508.42,508.5194868054395,0,1.0,0.9677186036773383,6469.636413454639,1906.050836020093
2024-04-15,508.42,487.03,486.7798751797681,0,1.0,0.957928484323984,6469.636413454639,1825.8603883931903
2024-04-16,487.03,463.97,463.9910615887647,0,1.0,0.9526517873642282,6469.636413454639,1739.4091624803166
2024-04-17,463.97,483.19,482.96208228731206,1,1.041425092139578,1.041425092139578,6737.641697991567,1811.4643473044898
2024-04-18,483.19,476.81,477.1393863167768,0,1.0,0.9867960843560504,6737.641697991567,1787.545924870659
2024-04-19,476.81,515.91,515.7144143786436,1,1.0820033136888907,1.0820033136888907,7290.150643675319,1934.1306140811262
2024-04-20,515.91,502.7,502.72261132860234,0,1.0,0.9743947587757555,7290.150643675319,1884.6067331483828
2024-04-21,502.7,522.42,522.4176892247206,1,1.0392281678933757,1.0392281678933757,7576.129897093416,1958.5364024893138
2024-04-22,522.42,505.32,505.6174707617765,0,1.0,0.9672677156311015,7576.129897093416,1894.429032016194
2024-04-23,505.32,479.73,478.28101327085545,0,1.0,0.9493588221325101,7576.129897093416,1798.4929144485254
2024-04-24,479.73,478.6,475.98490144872716,0,1.0,0.9976445083692911,7576.129897093416,1794.2565794406526
2024-04-25,478.6,482.78,475.05140247011235,0,1.0,1.0087338069368992,7576.129897093416,1809.9272700007484
2024-04-26,482.78,477.21,481.21551408433965,0,1.0,0.9884626537967605,7576.129897093416,1789.0455124840655
2024-04-27,477.21,470.98,465.7086857762342,0,1.0,0.9869449508602084,7576.129897093416,1765.6894354052627
2024-04-28,470.98,465.24,462.557352682591,0,1.0,0.9878126459722281,7576.129897093416,1744.1703531528817
2024-04-29,465.24,434.47,449.57512392664006,0,1.0,0.9338620926833463,7576.129897093416,1628.8145759916013
2024-04-30,434.47,424.83,428.23475565576604,0,1.0,0.9778120468616934,7576.129897093416,1592.674514508509
2024-05-01,424.83,429.53,433.0070104804044,1,1.0110632488289433,1.0110632488289433,7659.946507305356,1610.2946689660332
2024-05-02,429.53,453.18,445.0578566994672,1,1.0550601820594605,1.0550601820594605,8081.704556563318,1698.9577866086815
2024-05-03,453.18,462.95,457.4783190097814,1,1.021558762522618,1.021558762522618,8255.936105876226,1735.5852140661307
2024-05-04,462.95,469.62,471.46398373508504,1,1.0144076034128955,1.0144076034128955,8374.884359091895,1760.590837519681
2024-05-05,469.62,472.89,482.6359481420522,1,1.0069630765299604,1.0069630765299604,8433.199319813823,1772.8499662592774
2024-05-06,472.89,470.75,474.4748208131795,1,0.9954746346930576,0.9954746346930576,8395.036012185406,1764.8271725275538
2024-05-07,470.75,448.04,456.2785393204694,0,1.0,0.9517578332448221,8395.036012185406,1679.6880857764102
2024-05-08,448.04,454.86,451.4955370631223,1,1.0152218551915007,1.0152218551915007,8522.824034690326,1705.2560545849879
2024-05-09,454.86,426.95,455.17331304216435,1,0.9386404608011256,0.9386404608011256,7999.867479248635,1600.6223288595622
2024-05-10,426.95,429.77,442.80254795217564,1,1.0066049888745754,1.0066049888745754,8052.70651494715,1611.1944215340766
2024-05-11,429.77,433.25,427.49273153209737,0,1.0,1.0080973543988645,8052.70651494715,1624.2408337707116
2024-05-12,433.25,437.91,429.0095530357366,0,1.0,1.0107559145989613,8052.70651494715,1641.711029466895
2024-05-13,437.91,429.41,410.52265950107625,0,1.0,0.9805896188714576,8052.70651494715,1609.844792682011
2024-05-14,429.41,463.91,438.5738448109632,1,1.0803427959292984,1.0803427959292984,8699.683471156082,1739.1842243383055
2024-05-15,463.91,445.23,454.89553239011815,0,1.0,0.9597335690112306,8699.683471156082,1669.1534827922308
2024-05-16,445.23,466.57,440.5967728700643,0,1.0,1.0479302832244008,8699.683471156082,1749.1564819674575
2024-05-17,466.57,475.47,469.47991677188924,1,1.0190753799001222,1.0190753799001222,8865.633238379198,1782.5223063657481
2024-05-18,475.47,485.08,480.4333200659757,1,1.0202115801207225,1.0202115801207225,9044.82169489764,1818.5498987778346
2024-05-19,485.08,516.81,488.2897376027112,1,1.0654118908221324,1.0654118908221324,9636.460584109938,1937.5046862112902
2024-05-20,516.81,514.63,505.7834371533399,0,1.0,0.9957818153673498,9636.460584109938,1929.331933718226
2024-05-21,514.63,498.65,505.1638435330396,0,1.0,0.9689485649884383,9636.460584109938,1869.4234085626438
2024-05-22,498.65,491.13,487.91026522779515,0,1.0,0.9849192820615663,9636.460584109938,1841.2311614306052
2024-05-23,491.13,494.9,499.8630887475019,1,1.0076761753507217,1.0076761753507217,9710.431745313885,1855.3647746869594
2024-05-24,494.9,493.75,508.6513341870313,1,0.9976762982420692,0.9976762982420692,9687.867597997032,1851.0534602984164
2024-05-25,493.75,484.4,472.2905580010419,0,1.0,0.9810632911392405,9687.867597997032,1816.0005998350437
2024-05-26,484.4,489.74,489.4172874894147,1,1.0110239471511149,1.0110239471511149,9794.66613840435,1836.0200944740182
2024-05-27,489.74,471.05,470.8444012608533,0,1.0,0.9618368930452893,9794.66613840435,1765.9518632376082
2024-05-28,471.05,465.87,446.5244131293302,0,1.0,0.9890032905211761,9794.66613840435,1746.5322036439964
2024-05-29,465.87,465.02,468.40247549676945,1,0.9981754566724622,0.9981754566724622,9776.795345656064,1743.3455799655078
2024-05-30,465.02,455.09,463.17172290945103,0,1.0,0.9786460797385058,9776.795345656064,1706.118317462696
2024-05-31,455.09,463.54,454.7440245356565,0,1.0,1.0185677558285176,9776.795345656064,1737.7971057959046
2024-06-01,463.54,458.7,461.0780134406095,0,1.0,0.9895586141433317,9776.795345656064,1719.652095673688
2024-06-02,458.7,465.01,453.77644540929845,0,1.0,1.0137562677131022,9776.795345656064,1743.3080902751726
2024-06-03,465.01,476.5,478.24246432447484,1,1.02470914603987,1.02470914603987,10018.371609653801,1786.3837444702688
2024-06-04,476.5,494.83,502.8011124339109,1,1.038467995802728,1.038467995802728,10403.758286684135,1855.1023468546127
2024-06-05,494.83,495.49,488.8956505265241,0,1.0,1.0013337914031082,10403.758286684135,1857.5766664167331
2024-06-06,495.49,477.31,485.78110100889256,0,1.0,0.9633090476094371,10403.758286684135,1789.4204093874164
2024-06-07,477.31,469.74,473.4326744284635,0,1.0,0.984140286187174,10403.758286684135,1761.0407138037021
2024-06-08,469.74,474.46,472.55869795942357,1,1.0100481117213778,1.0100481117213778,10508.296412270945,1778.7358476418967
2024-06-09,474.46,468.91,470.74229313993504,0,1.0,0.9883024912532142,10508.296412270945,1757.9290695058842
2024-06-10,468.91,446.43,445.7181349005704,0,1.0,0.9520590305175833,10508.296412270945,1673.6522456324494
2024-06-11,446.43,454.29,441.0786693301206,0,1.0,1.0176063436597003,10508.296412270945,1703.1191422358834
2024-06-12,454.29,431.86,444.9309354033475,0,1.0,0.950626251953598,10508.296412270945,1619.0297668141245
2024-06-13,431.86,423.02,424.2165117468839,0,1.0,0.9795304033714629,10508.296412270945,1585.888880557845
2024-06-14,423.02,430.15,423.4358992781644,1,1.0168549950356958,1.0168549950356958,10685.413696133392,1612.6190297668124
2024-06-15,430.15,428.5,437.5277607049947,1,0.9961641287922818,0.9961641287922818,10644.425825393835,1606.4332308615114
2024-06-16,428.5,419.54,433.4832629170423,1,0.9790898483080513,0.9790898483080513,10421.849266711155,1572.8424683212102
2024-06-17,419.54,389.43,409.11252798700383,0,1.0,0.9282309195785861,10421.849266711155,1459.9610107220499
2024-06-18,389.43,388.73,375.09731580877354,0,1.0,0.9982025010913387,10421.849266711155,1457.336732398589
2024-06-19,388.73,389.61,383.0189275946622,0,1.0,1.0022637820595273,10421.849266711155,1460.635825148083
2024-06-20,389.61,382.6,398.26263322496465,1,0.9820076486743153,0.9820076486743153,10234.335693241159,1434.3555522231375
2024-06-21,382.6,391.58,381.9911216702466,0,1.0,1.0234709879769994,10234.335693241159,1468.021294144109
2024-06-22,391.58,380.68,388.5960684027677,0,1.0,0.9721640533224374,10234.335693241159,1427.1575316787873
2024-06-23,380.68,363.48,371.5487554576402,0,1.0,0.954817694651676,10234.335693241159,1362.6752643023158
2024-06-24,363.48,388.4,386.01407667064717,1,1.0685594805766478,1.0685594805766478,10935.99643241682,1456.099572617529
2024-06-25,388.4,373.71,357.45620175266316,0,1.0,0.962178166838311,10935.99643241682,1401.0272175151822
2024-06-26,373.71,388.73,368.9610998239522,0,1.0,1.0401915924112282,10935.99643241682,1457.3367323985894
2024-06-27,388.73,385.92,390.3034199383264,1,0.9927713322871916,0.9927713322871916,10856.94374809842,1446.8021294144103
2024-06-28,385.92,380.85,387.3985897805696,1,0.9868625621890548,0.9868625621890548,10714.311324790848,1427.7948564144854
2024-06-29,380.85,393.47,390.28449337744763,1,1.0331364054089536,1.0331364054089536,11069.34508852686,1475.1068456174544
2024-06-30,393.47,384.5,403.6835478153234,1,0.9772028363026405,0.9772028363026405,10816.995416521151,1441.4785933868175
2024-07-01,384.5,381.77,377.90028064513257,0,1.0,0.9928998699609882,10816.995416521151,1431.2439079253195
2024-07-02,381.77,372.72,385.2364405300622,1,0.9762946276553948,0.9762946276553948,10560.574512522628,1397.3157381720018
2024-07-03,372.72,331.36,370.7316344883447,0,1.0,0.8890319811118266,10560.574512522628,1242.258378945789
2024-07-04,331.36,325.65,317.5139403846269,0,1.0,0.9827679864799612,10560.574512522628,1220.8517657644138
2024-07-05,325.65,342.61,339.4530761446958,1,1.0520804544756641,1.0520804544756641,11110.57403265892,1284.4342805728415
2024-07-06,342.61,312.33,314.87877585554173,0,1.0,0.9116196258136072,11110.57403265892,1170.9154982379835
2024-07-07,312.33,333.34,346.2690176572805,1,1.0672685941151987,1.0672685941151987,11857.96672764872,1249.68133763215
2024-07-08,333.34,330.38,327.04241599702885,0,1.0,0.9911201775964481,11857.96672764872,1238.5843892929433
2024-07-09,330.38,340.53,341.741510054112,1,1.0307221986803075,1.0307221986803075,12222.269537400018,1276.6364249831283
2024-07-10,340.53,347.09,365.9457683470254,1,1.019264088332893,1.019264088332893,12457.720417396918,1301.2296618429918
2024-07-11,347.09,368.61,356.5455590393548,1,1.0620012100607912,1.0620012100607912,13230.114157874554,1381.9074754442515
2024-07-12,368.61,375.46,363.4166922327285,0,1.0,1.0185833265510973,13230.114157874554,1407.5879133238345
2024-07-13,375.46,376.45,390.62918000483563,1,1.0026367655675705,1.0026367655675705,13264.998867341063,1411.2993926670151
2024-07-14,376.45,399.08,392.60623331928304,1,1.0601142249966795,1.0601142249966795,14062.413993833103,1496.1385618954773
2024-07-15,399.08,386.82,399.41269983911565,1,0.9692793424877217,0.9692793424877217,13630.407389732687,1450.1762015445738
2024-07-16,386.82,375.28,377.25521304273656,0,1.0,0.9701670027402926,13630.407389732687,1406.9130988978015
2024-07-17,375.28,383.01,369.65307568574,0,1.0,1.0205979535280325,13630.407389732687,1435.8926295268789
2024-07-18,383.01,391.27,382.88202609682133,0,1.0,1.0215660165530926,13630.407389732687,1466.8591137437193
2024-07-19,391.27,395.38,393.31471704506924,1,1.0105042553735273,1.0105042553735273,13773.584669799651,1482.267376471469
2024-07-20,395.38,400.86,396.50062840247205,1,1.013860083969852,1.013860083969852,13964.487709888941,1502.8117267751356
2024-07-21,400.86,385.59,400.71983062291196,0,1.0,0.9619069001646459,13964.487709888941,1445.5649696333494
2024-07-22,385.59,366.6,376.503642668963,0,1.0,0.9507507974791879,13964.487709888941,1374.372047686885
2024-07-23,366.6,362.95,379.4664618577962,1,0.9900436442989634,0.9900436442989634,13825.452303066531,1360.6883107145525
2024-07-24,362.95,361.63,373.4030502345567,1,0.9963631354181017,0.9963631354181017,13775.171005256785,1355.7396715903117
2024-07-25,361.63,377.29,371.8042699303632,1,1.0433039294306337,1.0433039294306337,14371.690038363336,1414.448526655169
2024-07-26,377.29,392.29,377.0426057484155,0,1.0,1.0397572159346922,14371.690038363336,1470.6830621579056
2024-07-27,392.29,416.38,394.4976471569543,1,1.0614086517627266,1.0614086517627266,15254.236147171037,1560.995726175301
2024-07-28,416.38,438.61,421.4375392999654,1,1.0533887314472357,1.0533887314472357,16068.640464265065,1644.3353077903566
2024-07-29,438.61,432.15,442.28242765927365,1,0.985271653633068,0.985271653633068,15831.975961861672,1620.1169678338445
2024-07-30,432.15,413.75,398.8374011721616,0,1.0,0.9574221913687377,15831.975961861672,1551.1359376171542
2024-07-31,413.75,413.03,428.88406457567265,1,0.9982598187311178,0.9982598187311178,15804.425453843447,1548.436679913023
2024-08-01,413.03,381.56,403.0250189509397,0,1.0,0.9238069873859043,15804.425453843447,1430.4566244282814
2024-08-02,381.56,364.54,366.76920147800496,0,1.0,0.9553936471328232,15804.425453843447,1366.6491714778429
2024-08-03,364.54,334.13,335.27127238178304,0,1.0,0.9165797991989905,15804.425453843447,1252.643023168628
2024-08-04,334.13,309.83,310.18028940820744,0,1.0,0.9272738155807619,15804.425453843447,1161.5430756541941
2024-08-05,309.83,315.36,315.04701193237355,1,1.0178484975631799,1.0178484975631799,16086.510703043828,1182.2748744095366
2024-08-06,315.36,312.51,311.7997957673078,0,1.0,0.990962709284627,16086.510703043828,1171.5903126640167
2024-08-07,312.51,352.73,352.4714250173574,1,1.1286998816037888,1.1286998816037888,18156.84272594365,1322.3738471920215
2024-08-08,352.73,347.52,345.4421338644033,0,1.0,0.9852294956482294,18156.84272594365,1302.8417185274038
