Data,preco_hoje,preco_amanha,Previsao,sinal,retorno_estrategia,retorno_hold,capital_estrategia,capital_hold
2024-01-01,43999.21,44958.52,45067.05630982667,1,1.0218028914610058,1.0218028914610058,1021.8028914610057,1021.8028914610057
2024-01-02,44958.52,42854.01,45640.617659321055,1,0.9531899626589133,0.9531899626589133,973.9722599564857,973.9722599564857
2024-01-03,42854.01,44154.91,43009.638066191226,1,1.0303565523973137,1.0303565523973137,1003.5386998993849,1003.5386998993849
2024-01-04,44154.91,44149.3,46308.519698226824,1,0.9998729473120883,0.9998729473120883,1003.4111976101394,1003.4111976101394
2024-01-05,44149.3,43959.09,44793.05974130798,1,0.9956916644205003,0.9956916644205003,999.0881654466073,999.0881654466073
2024-01-06,43959.09,43911.02,44952.24931758549,1,0.998906483277975,0.998906483277975,997.9956458309142,997.9956458309142
2024-01-07,43911.02,46885.91,44818.435502287,1,1.0677481415826826,1.0677481415826826,1065.6079961435676,1065.6079961435676
2024-01-08,46885.91,46179.72,47856.10967541393,1,0.9849381189359446,0.9849381189359446,1049.557935244747,1049.557935244747
2024-01-09,46179.72,46655.56,46339.54012316372,1,1.010304090193704,1.010304090193704,1060.3726748730264,1060.3726748730264
2024-01-10,46655.56,46356.73,48075.84069604706,1,0.993594975604194,0.993594975604194,1053.5809620218186,1053.5809620218186
2024-01-11,46356.73,42795.58,47338.268188894726,1,0.9231794391019383,0.9231794391019383,972.6442815677832,972.6442815677832
2024-01-12,42795.58,42900.4,42874.95020112675,1,1.0024493183641863,1.0024493183641863,975.0265970684478,975.0265970684478
2024-01-13,42900.4,41778.37,44740.590649695136,1,0.9738456984084065,0.9738456984084065,949.5254573888946,949.5254573888946
2024-01-14,41778.37,42516.24,41976.304727014154,1,1.0176615315532893,1.0176615315532893,966.2955312152201,966.2955312152201
2024-01-15,42516.24,43126.0,43021.532685814425,1,1.0143418138574813,1.0143418138574813,980.1539618552248,980.1539618552248
2024-01-16,43126.0,42783.69,43531.29047267698,1,0.9920625608681538,0.9920625608681538,972.374049443161,972.374049443161
2024-01-17,42783.69,41313.13,43544.342242894694,1,0.9656280232022997,0.9656280232022997,938.9516311770147,938.9516311770147
2024-01-18,41313.13,41650.41,41908.41761754919,1,1.00816399047954,1.00816399047954,946.6172233546926,946.6172233546926
2024-01-19,41650.41,41687.37,42871.05276664626,1,1.0008873862226086,1.0008873862226086,947.4572384367815,947.4572384367815
2024-01-20,41687.37,41569.0,42439.74054257665,1,0.9971605308754186,0.9971605308754186,944.766962861379,944.766962861379
2024-01-21,41569.0,39558.08,42509.606208459474,1,0.9516245278933821,0.9516245278933821,899.0634150022244,899.0634150022244
2024-01-22,39558.08,39832.65,40273.53217599634,1,1.006940933432563,1.006940933432563,905.3037543174075,905.3037543174075
2024-01-23,39832.65,40075.3,41380.560344435275,1,1.0060917363017525,1.0060917363017525,910.8186260616957,910.8186260616957
2024-01-24,40075.3,39954.91,40837.96573380567,1,0.9969959052084452,0.9969959052084452,908.0824405710927,908.0824405710927
2024-01-25,39954.91,41817.89,40734.53780896962,1,1.0466270603537837,1.0466270603537837,950.4236553338122,950.4236553338122
2024-01-26,41817.89,42111.08,42744.19423329551,1,1.0070111141427749,1.0070111141427749,957.087184065351,957.087184065351
2024-01-27,42111.08,42024.08,42593.665774258785,1,0.9979340354130077,0.9979340354130077,955.1098758364078,955.1098758364078
2024-01-28,42024.08,43289.98,43357.89890312776,1,1.0301232055526262,1.0301232055526262,983.8808469515711,983.8808469515711
2024-01-29,43289.98,42943.28,44743.77444332652,1,0.991991218291161,0.991991218291161,976.0011600208284,976.0011600208284
2024-01-30,42943.28,42586.29,43950.5266508311,1,0.9916869414725658,0.9916869414725658,967.8876052547315,967.8876052547315
2024-01-31,42586.29,43074.0,43906.045200668275,1,1.0114522772469732,1.0114522772469732,978.9721224540176,978.9721224540176
2024-02-01,43074.0,43202.58,44219.758706782945,1,1.002985095417189,1.002985095417189,981.894447650311,981.894447650311
2024-02-02,43202.58,43015.53,43930.62184878532,1,0.9956703974623737,0.9956703974623737,977.643234958083,977.643234958083
2024-02-03,43015.53,42581.58,43847.166711753234,1,0.9899117830234802,0.9899117830234802,967.7805578781991,967.7805578781991
2024-02-04,42581.58,42719.74,43228.95468513481,1,1.0032445954330487,1.0032445954330487,970.920614256484,970.920614256484
2024-02-05,42719.74,43099.26,43529.389434357174,1,1.0088839492000654,1.0088839492000654,979.5462236708349,979.5462236708349
2024-02-06,43099.26,44325.07,43881.96708438173,1,1.0284415556090754,1.0284415556090754,1007.4060420630286,1007.4060420630286
2024-02-07,44325.07,45057.97,45302.10992874671,1,1.0165346608589676,1.0165346608589676,1024.0631593158155,1024.0631593158155
2024-02-08,45057.97,47116.4,46002.88861606736,1,1.0456840376963277,1.0456840376963277,1070.8464992894199,1070.8464992894199
2024-02-09,47116.4,47459.9,48597.85761542246,1,1.0072904551281507,1.0072904551281507,1078.6534576416266,1078.6534576416266
2024-02-10,47459.9,48285.16,48104.8796077203,1,1.0173885743543498,1.0173885743543498,1097.4097034924046,1097.4097034924046
2024-02-11,48285.16,49887.91,50222.845018052496,1,1.0331934283742665,1.0331934283742665,1133.8364938825048,1133.8364938825048
2024-02-12,49887.91,49633.97,51190.114731400274,1,0.9949097887644521,0.9949097887644521,1128.0650266220698,1128.0650266220698
2024-02-13,49633.97,51768.39,50421.05457171146,1,1.0430032092939574,1.0430032092939574,1176.5754430590923,1176.5754430590923
2024-02-14,51768.39,51869.43,52509.324226498604,1,1.001951770182538,1.001951770182538,1178.8718479263614,1178.8718479263614
2024-02-15,51869.43,52119.31,52067.753640068695,1,1.0048174811252022,1.0048174811252022,1184.5510408027787,1184.5510408027787
2024-02-16,52119.31,51625.75,52744.47868567519,1,0.9905301892906871,0.9905301892906871,1173.3335666708572,1173.3335666708572
2024-02-17,51625.75,52129.21,52196.33602009155,1,1.0097521101388358,1.0097521101388358,1184.7760448426243,1184.7760448426243
2024-02-18,52129.21,51782.53,52802.4311611224,1,0.9933496018834738,0.9933496018834738,1176.8968124654975,1176.8968124654975
2024-02-19,51782.53,52268.92,52042.38794680033,1,1.009392936189097,1.009392936189097,1187.9513291261374,1187.9513291261374
2024-02-20,52268.92,51850.11,52637.331479251385,1,0.9919873990126447,0.9919873990126447,1178.4327491334511,1178.4327491334511
2024-02-21,51850.11,51293.99,51896.18958627898,1,0.9892744682701733,0.9892744682701733,1165.7934312911536,1165.7934312911536
2024-02-22,51293.99,50723.82,51647.85753666144,1,0.9888842727968715,0.9888842727968715,1152.834789533722,1152.834789533722
2024-02-23,50723.82,51562.62,51083.30012705084,1,1.016536609427287,1.016536609427287,1171.8987681824296,1171.8987681824296
2024-02-24,51562.62,51723.28,52266.44422102161,1,1.0031158230516601,1.0031158230516601,1175.5501973785445,1175.5501973785445
2024-02-25,51723.28,54449.32,51818.06759469304,1,1.0527043141888914,1.0527043141888914,1237.5067643259968,1237.5067643259968
2024-02-26,54449.32,56879.46,55353.4121620236,1,1.0446312277178118,1.0446312277178118,1292.7382105269628,1292.7382105269628
2024-02-27,56879.46,62424.89,57265.57546380162,1,1.0974944206572987,1.0974944206572987,1418.7729734238421,1418.7729734238421
2024-02-28,62424.89,61151.39,63260.071252617054,1,0.9795994834752613,0.9795994834752613,1389.8292719346564,1389.8292719346564
2024-02-29,61151.39,62382.62,62796.20130132884,1,1.0201341294122668,1.0201341294122668,1417.812274356745,1417.812274356745
2024-03-01,62382.62,61984.31,64562.115394478664,1,0.9936150485503814,0.9936150485503814,1408.7596118203041,1408.7596118203041
2024-03-02,61984.31,63119.93,63969.4325633673,1,1.0183210880301805,1.0183210880301805,1434.5696206818268,1434.5696206818268
2024-03-03,63119.93,68066.27,64224.28337042965,1,1.0783641553468137,1.0783641553468137,1546.9884572927572,1546.9884572927572
2024-03-04,68066.27,63726.64,66566.50458858721,0,1.0,0.9362440456925287,1546.9884572927572,1448.3587318954148
2024-03-05,63726.64,65955.82,63126.053911159746,0,1.0,1.0349803473084414,1546.9884572927572,1499.0228233643302
