Data,preco_hoje,preco_amanha,Previsao,sinal,retorno_estrategia,retorno_hold,capital_estrategia,capital_hold
2024-01-01,163.13,165.66,168.80324608720517,1,1.0155091031692516,1.0155091031692516,1015.5091031692516,1015.5091031692516
2024-01-02,165.66,154.06,168.4412748505265,1,0.9299770614511651,0.9299770614511651,944.4001716422487,944.4001716422487
2024-01-03,154.06,162.55,165.3169190885864,1,1.0551083993249384,1.0551083993249384,996.4445534236501,996.4445534236501
2024-01-04,162.55,154.72,165.10692580083204,1,0.9518302060904337,0.9518302060904337,948.4460246429229,948.4460246429229
2024-01-05,154.72,151.21,163.1875006020689,1,0.9773138572905895,0.9773138572905895,926.9294427757005,926.9294427757005
2024-01-06,151.21,142.12,161.48943195158958,1,0.9398849282454864,0.9398849282454864,871.207012811868,871.207012811868
2024-01-07,142.12,144.31,157.4407337721538,1,1.0154095130875316,1.0154095130875316,884.6318886777419,884.6318886777419
2024-01-08,144.31,139.74,154.70782070249135,1,0.9683320629201027,0.9683320629201027,856.6174216882245,856.6174216882245
2024-01-09,139.74,145.66,151.46365429254564,1,1.0423643910118792,1.0423643910118792,892.9074970882122,892.9074970882122
2024-01-10,145.66,147.98,150.77616634630704,1,1.015927502402856,1.015927502402856,907.1292833936128,907.1292833936128
2024-01-11,147.98,142.46,149.9128534599423,1,0.9626976618461955,0.9626976618461955,873.291240115246,873.291240115246
2024-01-12,142.46,147.15,149.31877685545572,1,1.0329215218306893,1.0329215218306893,902.0413167412497,902.0413167412497
2024-01-13,147.15,149.54,148.8773240380051,1,1.0162419300033978,1.0162419300033978,916.6922086679339,916.6922086679339
2024-01-14,149.54,150.37,149.13515958207097,0,1.0,1.005550354420222,916.6922086679339,921.780175320297
2024-01-15,150.37,153.15,149.83429658360205,0,1.0,1.0184877302653454,916.6922086679339,938.8217985655615
2024-01-16,153.15,153.08,151.02678976524732,0,1.0,0.9995429317662423,916.6922086679339,938.3926929442779
2024-01-17,153.08,148.37,151.82541628911017,0,1.0,0.9692317742356937,916.6922086679339,909.520014712193
2024-01-18,148.37,151.75,151.20217834407197,1,1.0227808856237783,1.0227808856237783,937.5752690258068,930.2396861398887
2024-01-19,151.75,153.15,151.83539630568126,1,1.0092257001647447,1.0092257001647447,946.2250573397188,938.8217985655615
2024-01-20,153.15,154.24,152.42191493545567,0,1.0,1.0071172053542279,946.2250573397188,945.5035860969782
2024-01-21,154.24,147.14,153.49786083868105,0,1.0,0.9539678423236513,946.2250573397188,901.9800159382089
2024-01-22,147.14,145.77,152.6944624531987,1,0.9906891395949438,0.9906891395949438,937.4148879190623,893.5818059216579
2024-01-23,145.77,147.24,151.38703050652543,1,1.0100843795019552,1.0100843795019552,946.8681353996209,902.5930239686143
2024-01-24,147.24,151.81,150.37115283022433,1,1.0310377614778592,1.0310377614778592,976.2568027371397,930.6074909581317
2024-01-25,151.81,154.4,151.1176960462289,0,1.0,1.0170607996838152,976.2568027371397,946.4843989456264
2024-01-26,154.4,154.58,152.1414304426437,0,1.0,1.0011658031088084,976.2568027371397,947.5878134003559
2024-01-27,154.58,156.82,153.06083737935302,0,1.0,1.0144908785095095,976.2568027371397,961.3191932814323
2024-01-28,156.82,162.87,153.7515770242298,0,1.0,1.0385792628491264,976.2568027371397,998.4061791209467
2024-01-29,162.87,156.92,155.8938970137752,0,1.0,0.9634677964020383,976.2568027371397,961.9322013118373
2024-01-30,156.92,158.8,157.09254635676587,1,1.0119806270711191,1.0119806270711191,987.9529714163765,973.4567522834552
2024-01-31,158.8,161.2,158.46118488780488,0,1.0,1.0151133501259444,987.9529714163765,988.1689450131797
2024-02-01,161.2,162.97,159.26576216801953,0,1.0,1.0109801488833747,987.9529714163765,999.0191871513518
2024-02-02,162.97,159.23,160.69118271248163,0,1.0,0.9770509909799349,987.9529714163765,976.0926868141974
