coin,retorno_pct,grupo
LSK,-3.3230227618405883,Mid
LSK,-1.4692893295317089,Mid
LSK,-3.045764907601445,Mid
LSK,4.440114651687632,Mid
LSK,5.877433038004987,Low
LSK,-3.4074901901867793,Low
LSK,-4.194752932322232,Low
LSK,0.07805593556122759,Low
LSK,0.8206388374561113,Low
LSK,3.4602076759426836e-07,Low
LSK,4.210226297577857,Low
LSK,1.069987107575332,Low
LSK,-0.6701626027093455,Low
LSK,-2.639784475017537,Low
LSK,0.7495280349243849,Low
LSK,-4.897246172921099,Low
LSK,0.6377188999383776,Low
LSK,-3.922882571620645,Low
LSK,0.18618800169949434,Low
LSK,2.202286572843093,Low
LSK,-0.3024503231590647,Low
LSK,-1.7223781826696705,Low
LSK,0.8764586988304179,Low
LSK,2.062044357417081,Low
LSK,1.5943969905668043,Low
LSK,1.278366561717026,Low
LSK,-0.8565907641835957,Low
LSK,-2.7940408915156034,Low
LSK,-1.6387611106669864,Low
LSK,-0.28986847279875994,Low
LSK,-0.6538488648633933,Low
LSK,2.5124255990810695,Low
LSK,-3.798766666666664,Low
LSK,-13.336086001118009,Low
LSK,-4.40025814506837,Low
LSK,-4.422937438262487,Low
LSK,-1.4258378612299283,Low
LSK,0.6628599927709811,Low
LSK,-20.5232234871361,Mid
LSK,-10.127094415448978,Mid
LSK,6.884823732614742,Mid
LSK,-4.83837443331846,Mid
LSK,-1.249849635232414,Mid
LSK,-7.528127648495464,Mid
LSK,0.09293085666379763,Mid
LSK,-6.852579890353261,Mid
LSK,7.8136898619797,High
LSK,8.70968944733217,High
LSK,-0.6809509075536568,High
LSK,-5.339958878099981,High
LSK,4.699131975759552,High
LSK,-1.5016254078138003,High
LSK,-7.5553677204934555,High
LSK,2.5249864194723637,High
LSK,-4.136909490312524,High
LSK,-10.568236866033487,High
LSK,-0.4650156361389213,High
LSK,-0.21033333512110453,High
LSK,3.158839017641246,High
LSK,-3.8234217316972297,High
LSK,-1.7234546061208444,High
LSK,-0.2818407980926585,High
LSK,-3.7487307383104684,High
LSK,0.727095387766008,High
LSK,-3.3760411213747954,High
LSK,3.888586029051,High
LSK,7.1235341464453095,High
LSK,7.931584235297584,High
LSK,9.25297187947689,High
LSK,8.895952447552457,High
LSK,-11.020427326239924,High
LSK,2.0186566159980712,High
LSK,4.972751956372967,High
LSK,-0.42904251506505897,High
LSK,-6.434030216984555,High
LSK,3.4181536612872376,High
LSK,-7.662084449566553,High
LSK,11.182376836585739,High
LSK,-7.171810902928932,High
LSK,3.6633115212514333,High
LSK,-8.526395016912957,High
