https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LSK,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1748131200000,2025-05-25 00:00:00,LSK/USDT,0.5137,0.5147,0.4806,0.5002,12312913.6939,24951436.4026,6614234.6365,13402469.7309,786683,0.4935
1748044800000,2025-05-24 00:00:00,LSK/USDT,0.5198,0.5292,0.5104,0.5133,12393156.5946,23773809.632,6664499.622,12784805.8051,786968,0.5213
1747958400000,2025-05-23 00:00:00,LSK/USDT,0.5585,0.5657,0.517,0.5201,12681706.7402,23248492.8781,6805373.5468,12474802.2364,787601,0.5457
1747872000000,2025-05-22 00:00:00,LSK/USDT,0.5357,0.5591,0.5351,0.5587,12487257.6432,22723044.7211,6713884.4728,12217297.4045,788438,0.5495
1747785600000,2025-05-21 00:00:00,LSK/USDT,0.5245,0.541,0.515,0.5361,12602592.0549,23914891.4189,6796943.0837,12898266.1496,790902,0.527
1747699200000,2025-05-20 00:00:00,LSK/USDT,0.5226,0.5343,0.5087,0.5247,12703064.4891,24399853.3107,6850639.855,13158916.8177,793183,0.5206
1747612800000,2025-05-19 00:00:00,LSK/USDT,0.5352,0.538,0.5048,0.5227,12351881.5572,23901776.5753,6691516.4154,12948049.1132,790752,0.5168
1747526400000,2025-05-18 00:00:00,LSK/USDT,0.5197,0.5425,0.5062,0.5353,12667849.225,24055188.3041,6791747.0987,12896845.7474,790538,0.5267
1747440000000,2025-05-17 00:00:00,LSK/USDT,0.5304,0.5347,0.512,0.5197,12583375.5616,24191052.7552,6787115.8484,13047723.8971,790893,0.5201
1747353600000,2025-05-16 00:00:00,LSK/USDT,0.535,0.55,0.5259,0.5302,12502617.2349,23136427.7228,6749418.3292,12490344.282,785728,0.5404
1747267200000,2025-05-15 00:00:00,LSK/USDT,0.564,0.5708,0.519,0.5351,12483088.8872,23029420.0352,6688818.5789,12339748.4293,778087,0.5423
1747180800000,2025-05-14 00:00:00,LSK/USDT,0.5824,0.5858,0.5563,0.5645,12576143.1748,22061887.5627,6716843.5606,11782639.6472,791938,0.5701
1747094400000,2025-05-13 00:00:00,LSK/USDT,0.5794,0.5891,0.546,0.5827,12659516.2704,22275547.6923,6834674.2273,12025743.4437,786613,0.5684
1747008000000,2025-05-12 00:00:00,LSK/USDT,0.5755,0.605,0.5492,0.5797,12247746.9357,21210347.3289,6608096.896,11443707.5228,783061,0.5775
1746921600000,2025-05-11 00:00:00,LSK/USDT,0.5783,0.5795,0.5,0.5755,12518405.6559,21959833.4111,6786191.3188,11904755.7565,784327,0.5701
1746835200000,2025-05-10 00:00:00,LSK/USDT,0.5513,0.5791,0.5446,0.5783,12601739.2495,22651263.0114,6805108.6879,12232166.3802,783947,0.5564
1746748800000,2025-05-09 00:00:00,LSK/USDT,0.5207,0.5527,0.5188,0.5513,12012169.9128,22368577.2638,6448590.2009,12007572.357,781645,0.5371
1746662400000,2025-05-08 00:00:00,LSK/USDT,0.475,0.526,0.4735,0.5208,12413626.1029,24853070.6216,6638163.4728,13291971.8394,786023,0.4997
